(base) D:\Private\adventofcode\2018\day 9>python solution.py
1 25 4.0 %
2 25 8.0 %
3 25 12.0 %
4 25 16.0 %
5 25 20.0 %
6 25 24.0 %
7 25 28.000000000000004 %
8 25 32.0 %
9 25 36.0 %
10 25 40.0 %
11 25 44.0 %
12 25 48.0 %
13 25 52.0 %
14 25 56.00000000000001 %
15 25 60.0 %
16 25 64.0 %
17 25 68.0 %
18 25 72.0 %
19 25 76.0 %
20 25 80.0 %
21 25 84.0 %
22 25 88.0 %
23 25 92.0 %
24 25 96.0 %
25 25 100.0 %
9 players last_marble: 25 high_score: 32
17 1618 1.0506798516687268 %
34 1618 2.1013597033374536 %
51 1618 3.15203955500618 %
68 1618 4.202719406674907 %
85 1618 5.253399258343634 %
102 1618 6.30407911001236 %
119 1618 7.354758961681088 %
136 1618 8.405438813349814 %
153 1618 9.456118665018542 %
170 1618 10.506798516687269 %
187 1618 11.557478368355994 %
204 1618 12.60815822002472 %
221 1618 13.658838071693449 %
238 1618 14.709517923362176 %
255 1618 15.760197775030901 %
272 1618 16.81087762669963 %
289 1618 17.861557478368358 %
306 1618 18.912237330037083 %
323 1618 19.962917181705812 %
340 1618 21.013597033374538 %
357 1618 22.064276885043263 %
374 1618 23.11495673671199 %
391 1618 24.165636588380718 %
408 1618 25.21631644004944 %
425 1618 26.26699629171817 %
442 1618 27.317676143386898 %
459 1618 28.368355995055623 %
476 1618 29.419035846724352 %
493 1618 30.46971569839308 %
510 1618 31.520395550061803 %
527 1618 32.57107540173053 %
544 1618 33.62175525339926 %
561 1618 34.67243510506798 %
578 1618 35.723114956736715 %
595 1618 36.77379480840544 %
612 1618 37.824474660074166 %
629 1618 38.87515451174289 %
646 1618 39.925834363411624 %
663 1618 40.97651421508034 %
680 1618 42.027194066749075 %
697 1618 43.077873918417794 %
714 1618 44.128553770086526 %
731 1618 45.17923362175525 %
748 1618 46.22991347342398 %
765 1618 47.28059332509271 %
782 1618 48.331273176761435 %
