      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   03:00:02   4799      0   03:00:52   3798      0
 24   03:03:02   4756      0   03:27:09   4051      0
 23   04:25:51   5823      0   08:07:25   4668      0
 22   03:44:08   7175      0   04:27:10   5074      0
 21   03:22:53   4525      0   05:02:27   5388      0
 20   03:53:52   3851      0   12:46:22   3708      0
 19   05:22:07   5764      0   17:09:11   9487      0
 18   02:50:57   6167      0   15:26:36  14190      0
 17   02:34:59   5303      0   02:42:09   4836      0
 16   01:31:19   6595      0   02:02:51   4320      0
 15   01:12:30   6222      0   01:40:51   5797      0
 14   01:37:09   6513      0   02:47:02   5912      0
 13   03:09:09  10743      0   12:52:39  14863      0
 12   02:36:25   9038      0   05:05:53  10898      0
 11   01:24:23   6566      0   01:55:53   5589      0
 10   01:10:35  10031      0   02:02:19   6005      0
  9   00:57:41   9164      0   03:12:53  14506      0
  8   02:40:35  14996      0   02:58:56  12559      0
  7   02:35:12  10358      0   02:47:42   8249      0
  6   03:46:18  18083      0   04:03:57  17030      0
  5   02:02:45  11293      0   03:21:36  13630      0
  4   01:36:17  11734      0   02:30:46  10040      0
  3   01:32:12  11354      0   01:38:35  10394      0
  2   01:01:12   8289      0   01:07:41   7691      0
  1   01:53:17   8391      0   02:27:52   9120      0
